ID,UCID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Critical,Process Type,Application Type,Technology,CrossSector,CrossBorder,Uptake,Interaction,Data Scope 1,Data Scope 2,OSS,interOp I,"IoP Level 1
 Technical","IoP Level 2
Semantical","IoP Level 3
Legal","IoP Level 4
Organisational",EIF Principle 1,EIF Principle 2,AI Action 1,AI Action 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,Date-added,Date-updated
421,AIWT6-421,Transcription Kratt 112 - Transcribing emergency calls dialed to the emergency number 112,,"Kratt starts transcribing calls to 112.
",National,Estonia,EE,,Central-Government,Public order and safety,Police Services,Implemented,2020,,Perception,Audio processing,Machine learning,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,Yes,Yes,Yes,Yes,Preservation of information,User-centricity,"Structuring
Transform","Digitising
Automate",Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.kratid.ee/kasutuslood,24/05/2021,
429,AIWT6-429,Salme - Speech recognition in courts ,https://www.compriseh2020.eu/speech-recognition-in-estonian-courts/,"Speech recognition software enables the transcription of a written transcript of a hearing ('the transcript'), which is used to draw up the minutes of the hearing. COMPRISE H2020 project is experimenting a solution for this. Tilde – a leading European language technology company – in collaboration with the Estonian national Centre of Registers and Information Systems (RIK) has developed a solution for automated transcription of court hearings in all 9 national and regional courts of the country. The solution has brought significant improvements to the efficiency and speed of producing court session recordings and protocolling. Speech recognition models have been adapted for the rather rich domain content – more than 800 hours of transcribed audio files have been used for the development of the acoustic models and over 800 million words worth of textual data have been used for the custom language model development. As a result, the solution which provides for real-time, as well as offline speech recognition has high quality of speech recognition, where word error rates (WER) vary between 8 and 15%, and this is a very good result given the actual conditions at court hearings. This solution is built to run on the RIK’s infrastructure thus safeguarding the security and availability to authorized users only.",National,Estonia,EE,Estonian Court,Central-Government,General public services,General public services n.e.c.,Pilot,2019,,Perception,Audio processing,Machine learning,Natural language processing,,,,Public services and engagement,Service integration (various),Artificial Intelligence,No,No,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,Yes,Yes,Yes,Yes,Preservation of information,Administrative simplification,"Digitising
Automate","Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.rik.ee/et/news/2-oktoobril-toimub-rik-kohtute-helisalvestustarkvara-salme-hanke-infopaev,24/05/2021,
446,AIWT6-446,Text-to-speech synthesis in Estonian,https://www.kratid.ee/kasutuslood,"Cooperation with the University of Tartu is the ongoing project ""Estonian speech synthesis with neural networks"", the aim of which is to create new synthesized voices using the neural network method. The aim of the EKI speech synthesis project ""Expressive and diverse speech synthesis in Estonian"" is to achieve a significantly more natural and expressive output speech, which, as a long-term goal, enables wider use of speech synthesis due to better quality. As a result of the project, expressive and diverse synthesis voices created by different methods have been and will be completed, which meet the expectations of different target groups and can be used for various purposes.
",National,Estonia,EE,,Academic-Research,General public services,General services.,Pilot,2020,,Learning,Machine learning,Natural language processing,Audio processing,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,No,User-centricity,Transparency,"Conversation
Support? interaction",,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,,x,,,FALSE,,,,https://www.kratid.ee/kasutuslood,24/05/2021,
451,AIWT6-451,Optimize the processing of reports of adverse health events, ,"Using the data from all the reports of adverse health events, the AI ??will make it possible to classify the reports, extract the relevant business concepts and detect anomalies in the reports.  ",National,France,FR,General Directorate of Health ,Central-Government,Health,Health n.e.c.,Pilot,2019,,Learning,Machine learning,Natural language processing,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,User-centricity,Inclusion and accessibility,Classification,Extraction?,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-15-nouveaux-projets-selectionnes,24/05/2021,
454,AIWT6-454,Acts - Develop Artificial Intelligence in dematerialized legality control, ,"Using data from the @ctes (Acts) application, the AI ??will simplify the work of agents in the prefecture, by automatically sorting transmissible and non-transmissible acts and by detecting the information to be checked as a priority.
",National,France,FR,General Directorate of Local Authorities .,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2019,,Planning,Planning and Scheduling,Automated reasoning,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,Yes,Reusability,Administrative simplification,Classification,Detection ?,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,Open government capabilities,x,,,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-15-nouveaux-projets-selectionnes,24/05/2021,
457,AIWT6-457,Improve the identification of the employing establishment in the population census ,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-15-nouveaux-projets-selectionnes,"Based on the declaration of the employing establishment in the population census data and the SIRENE database of companies and their establishments, the AI ??will make it possible to develop a recommendation engine for the agents who correct the census data. The project will allow greater precision in home-work statistics provided by INSEE and a gain in efficiency in the data production chain.
",National,France,FR,National Institute of Statistics and Economic Studies,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2019,,Communication,Natural language processing,Searching,,,text analysis,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Reusability,Administrative simplification,"Conversation
Support? interaction",,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-15-nouveaux-projets-selectionnes,24/05/2021,
460,AIWT6-460,AI to identify entities presenting a risk to economic interests, ,"From requests for foreign investments in France crossed with external sources, the AI ??will make it possible to detect and identify entities presenting a risk for the economic interests of France in order to improve the examination of the files of economic intelligence and better detect the risks that foreign investments may present.
",National,France,FR,Directorate-General for Enterprises - Strategic Information and Economic Security Service,Central-Government,Economic affairs,Economic affairs n.e.c,Pilot,2019,,Reasoning,Automated reasoning,Knowledge representation,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2B,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,Inclusion and accessibility,Detection ?,,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-15-nouveaux-projets-selectionnes,24/05/2021,
464,AIWT6-464,Identify divergences in case law - Detection of divergent interpretations of the law, ,"Based on case law data from the Court of Cassation (Jurinet) and the Courts of Appeal (JuriCA), AI will make it possible to reconcile decisions dealing with the same subject and to detect divergent interpretations of the law in order to guarantee an interpretation. uniform of the law.",National,France,FR,Court of Cassation,Central-Government,Public order and safety,Law courts,Pilot,2019,,Reasoning,Knowledge representation,Natural language processing,,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Reusability,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,x,,,,FALSE,,,,https://www.etalab.gouv.fr/intelligence-artificielle-decouvrez-les-15-nouveaux-projets-selectionnes,24/05/2021,
479,AIWT6-479,Extraction of topographical objects - AI to extract topographical objects from aerial images,https://gouvernement.lu/en/dossiers.gouv_digitalisation%2Ben%2Bdossiers%2B2021%2BAI4Gov.html,"This project involved using AI to extract topographical objects from aerial images, thereby making it possible to detect new buildings and roads with a view to identifying construction areas. Extracting these objects made it possible to reduce State officials’ workload and increase the quality and rapidity of updating the databases held by the Land Registry and Topography Administration. A further aim of the project was to allow the creation of new data and services, and object recognition.
",National,Luxembourg,LU,Land Registry and Topography Administration,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2019,,Perception,Computer vision,Machine learning,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2G,Historical Data,Location Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Preservation of information,Extraction?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,x,,,,FALSE,,,,https://gouvernement.lu/en/dossiers.gouv_digitalisation%2Ben%2Bdossiers%2B2021%2BAI4Gov.html,24/05/2021,
481,AIWT6-481,CLAVIS project - Automatic recognition of old handwritten documents,https://sip.gouvernement.lu/en/dossiers.gouv_digitalisation%2Ben%2Bdossiers%2B2021%2BAI4Gov.html,"The CLAVIS project proposed by the Luxembourg National archives (Archives nationales de Luxembourg - ANLux) involves submitting digitised images of seventeenth- and eighteenth-century manuscript documents to Transkribus, a platform for AI-assisted recognition of handwriting, transcription, and searches in historic documents. Automated transcription helps to make these sources, hardly exploitable until now, legible and comprehensible again for upcoming generations of researchers. ANLux also expects the project to come up with new possibilities for the automated creation of inventories or indexes of people and places.
",National,Luxembourg,LU,Luxembourg National archive,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2019,,Perception,Computer vision,Machine learning,Natural language processing,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,Yes,Yes,No,No,Preservation of information,Reusability,"Digitising
Automate","Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,x,,,,FALSE,,,,https://gouvernement.lu/en/dossiers.gouv_digitalisation%2Ben%2Bdossiers%2B2021%2BAI4Gov.html,24/05/2021,
512,AIWT6-512,Case Law Engine,https://www.trouw.nl/nieuws/de-rechtspraak-is-met-deze-nieuwe-robot-niet-langer-digibeet~b9b058a2/,"A search engine allows lawyers to search rulings of completed lawsuits about labor disputes. With the help of Artificial Intelligence, all published dismissal cases are searched, and labeled by keywords so that they are recognized later. Legal researchers from Erasmus University Rotterdam keep an eye on whether the keywords are properly explained.",National,Netherlands,NL,LexIQ,Central-Government,Public order and safety,Law courts,In development,2019,,Reasoning,Knowledge representation,Searching,,,,,Public services and engagement,Service integration (various),Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Reusability,Technology Neutrality and Data Portability,Classification,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
521,AIWT6-521,Improve data quality with AI - Machine learning to improve the data quality of registrations,https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nieuwe-technologieen-data-en-ethiek/het-led/toolbox/aan-de-slag-datagedreven-werken-in-de-praktijk/ ,"The services of the municipality of The Hague run on data registrations. The quality of the registrations can have consequences for the quality of the service. In this pilot, AI (machine learning) was used with the aim of analyzing, monitoring and continuously improving the data quality of the registrations. Phinion's Qbot product has been used. Qbot discovers patterns and deviations within and between registrations via machine learning.",Local,Netherlands,NL,Municipality of The Hague and Phinion Data Engineering.,Local Government,General public services,R&D general public services.,Implemented,2020,,Learning,Machine learning,Knowledge representation,,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,Yes,Preservation of information,Technology Neutrality and Data Portability,Cleaning,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
522,AIWT6-522,The Refinery: AI in investigation support,https://zoek.officielebekendmakingen.nl/blg-849198.pdf,"A facility that makes it possible to quickly access, give meaning to large amounts of police data, to analyse and visualize in conjunction with each other. ",Local,Netherlands,NL,Dutch Police,Local Government,Public order and safety,Police Services,In development,2018,,Planning,Planning and Scheduling,Machine learning,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,,,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,Yes,Administrative simplification,Preservation of information,Extraction?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
532,AIWT6-532,E-Discovery - automatic classifcation of incoming and outgoing emails,https://www.nationaalarchief.nl/archiveren/nieuws/e-discovery-machine-learning-en-e-mail,"In 2016, the Nationaal Archief started a study into the possibilities of E-discovery within information management. As part of this research, in collaboration with the ICT Implementation Organisation (ICTU), a prototype has been developed that automatically classifies incoming and outgoing e-mails.",National,Netherlands,NL,National Archives and ICTU,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2017,,Reasoning,Automated reasoning,Machine learning,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Administrative simplification,User-centricity,Classification,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
536,AIWT6-536,Excess Material Exchange,https://www.prorail.nl/nieuws/online-handelsplatform-voor-restmaterialen,"Various organizations are exploring the possibilities of exchanging residual materials among themselves. With the help of AI, supply and demand are linked together and a trading platform is created to close the residual flows circle of the organizations. EME then uses Artificial Intelligence (AI) to quickly read and interpret all that data. AI ensures that matches are made quickly and on a large scale between buyers and suppliers of materials. The intelligence lies in the fact that the AI program also brings together parties that you might not immediately think of yourself.",National,Netherlands,NL,"ProRail, Schiphol, DSM, Rijkswaterstaat Heembouw, Sodexo",Central-Government,Economic affairs,Transport,In development,2018,,Learning,Machine learning,Optimisation,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,No,No,Yes,Openness,Technology Neutrality and Data Portability,Classification,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
539,AIWT6-539,Forensic Image Recognition (FIRE) -  Recognition of containers that have illegal cargo,https://datascienceinitiative.eu/wp-content/uploads/2020/05/DSI-AIBinnenDeOverheid.pdf,"This system aims to relieve detection staff by automatic image recognition. To recognize these images, large amounts of data are analyzed. The system could learn to recognize containers that potentially have an illegal cargo.",National,Netherlands,NL,Netherlands Forensic Institute (NFI),Central-Government,Public order and safety,Police Services,Pilot,2020,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,,,G2B,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,Yes,No,Preservation of information,Security and privacy,Detection ?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
546,AIWT6-546,GEO reference of documents - Gaining more insight into data on nitrogen emissions and soil pollution,https://www.bolesian.ai/case-gelderland/,Bolesian has developed an application for the province of Gelderland with which large amounts of unstructured information and data can be analyzed. The focus is on gaining more insight into data on nitrogen emissions and soil pollution. ,Regional,Netherlands,NL,"Province of Gelderland, Bolesian.ai",Private sector,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2021,,Reasoning,Automated reasoning,Machine learning,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Location Data,,AI4IOP,Yes,Yes,No,No,Openness,Reusability,Detection ?,"Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
548,AIWT6-548,Hansken - Faster search of photographs because of smart algorithm,"https://www.hansken.nl/latest/news/2021/03/21/smart-algorithm-faster-search
https://www.forensischinstituut.nl/forensisch-onderzoek/hansken","There must be a more efficient way of doing this, thought the data scientists at the Netherlands Forensic Institute (NFI), and so they developed the Forensic Image Recognition Engine (FIRE) software library. Working on the basis of existing models, the experts created a machine learning algorithm that, after ‘training’, is able to find the proverbial needle in the haystack. Using artificial intelligence is not just interesting in drugs cases involving shipping containers but can also be valuable for many other police investigations. Above all, automating the search process saves massive amounts of time and frees up police officers for other tasks.",National,Netherlands,NL,"Police, NFI",Central-Government,Public order and safety,R&D public order and safety.,In development,2021,,Learning,Machine learning,Searching,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,No,Reusability,User-centricity,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
560,AIWT6-560,Artificial Intelligence Knowledge System for the judiciary searches for similar lawsuits,https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/kamerstukken/2018/12/19/ek-artificiele-intelligentie-en-algoritmen-in-de-rechtspleging/ek-artificiele-intelligentie-en-algoritmen-in-de-rechtspleging.pdf https://www.tweedekamer.nl/kamerstukken/kamervragen/detail?id=2020Z03232&did=2020D11984,Knowledge system searches for similar lawsuits using entered text and gives the user the top 10 most similar lawsuits.,Regional,Netherlands,NL,District Court of East Brabant,Local Government,Public order and safety,Law courts,Pilot,2018,,Reasoning,Knowledge representation,Natural language processing,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2B,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,No,Preservation of information,Technology Neutrality and Data Portability,Detection ?,,Improved Public Service,,x,,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
562,AIWT6-562,LAA - Address quality in Personal Records Database (BRP),"https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/rapporten/2016/03/21/rapport-landelijke-aanpak-adreskwaliteit/rapport-landelijke-aanpak-adreskwaliteit.pdf
https://www.ictu.nl/projecten/landelijke-aanpak-adreskwaliteit",Data analysis used to achieve pattern recognition and to search for incorrect addressing based on this. The aim is to put the BRP in order and ultimately contribute to the fight against fraud.,National,Netherlands,NL,Ministry of Interior,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2018,,Planning,Planning and Scheduling,Automated reasoning,,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,,,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,Yes,Administrative simplification,User-centricity,Cleaning,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
584,AIWT6-584,AviaTor - Pilot detection child abuse,"https://aviatorproject.com/
 https://www.ziuz.com/nl/nieuws/aviator-project-de-volgende-fase/","AviaTor, which stands for Augmented Visual Intelligence and Targeted Online Research,was developed from a research project into a working prototype in just 12 months. By using expert insight gained from extensive interviews with the Dutch and Belgian police, it was possible to establish how to best process NCMEC referrals. The AviaTor Project is funded by the European Union's Internal Security Fund – Police.  ZiuZ develops a solution AviaTor, which stands for Augmented Visual Intelligence and Targeted Online Research, is an efficient tool that helps you prioritise all aspects of CSAM (Child Sexual Abuse Material) reports, so that you can focus on identifying perpetrators and saving victims. By combining visual intelligence to help prioritize reports with online sources for additional information, AviaTor reduces the time spent by law enforcement agencies processing CSAM reports. This makes the processing not only quicker, but also more efficient and complete.",National,Netherlands,NL,"National Police, Ziuz",Central-Government,Public order and safety,Police Services,Implemented,2021,2023,Learning,Machine learning,Searching,Planning and Scheduling,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,,,,G2G,Historical Data,Dynamic Data,,AI4IOP,No,Yes,Yes,Yes,Security and privacy,Assessment of Effectiveness and Efficiency,Detection ?,Extraction?,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
614,AIWT6-614,Amsterdam City Archive - Handwritten Text Recognition for eabling searches on old handwritten texts,https://nlaic.com/use-cases/aincient-en-partners-slimmer-doorzoeken-van-archieven-door-de-inzet-van-ai-en-crowdsourcing/ ,"By means of Handwritten Text Recoginition (HTR), millions of scans of old handwritten texts from the Amsterdam City Archive can be automatically converted into transcriptions. This makes searching in complete texts possible. NLP is used. ",Local,Netherlands,NL,"Aincient B.V., Picturae, Sioux Technologies, Islands of Meaning, Amsterdam City Archive. ",Private sector,General public services,General public services n.e.c.,Implemented,2021,,Communication,Natural language processing,Machine learning,Computer vision,,text analysis,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,Yes,Yes,No,No,Preservation of information,Reusability,"Digitising
Automate","Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,"Hoekstra, M., Chideock, C., & Veenstra, A.F. van (2021). Quik Scan AI in de Publieke Dienstverlening II - Longlist Initiatieven. TNO: Den Haag.",24/05/2021,
708,AIWT6-708,Taxation and the automatization of property evaluation, ,"For years, and with varying degrees of success, the Danish government has tried to centralize and automate tax administration. Attempts to centralize and automate tax collection in 2005 with EFI (Et Fælles Inddrivelsessystem or One Shared Tax collection system) failed, and EFI was shelved in 2015 (Alfter, 2019, 51). A new system, to collect billions of Danish crowns owed by taxpayers, was expected to be finalized by mid-2019, however, in September 2019, the Auditors of the Danish Parliament, Rigsrevision, published a critical report indicating that tax collection would only be fully up and running by the end of 2020, or later (Rigsrevisionen, 2019).

Missing out on collecting billions of Danish crowns in tax revenue, however, is just one of several automatization concerns on the table of every new minister of finance. One heated discussion is about automatizing the estimation of property values – particularly in a context where housing costs are growing significantly in the capital and near larger cities while they are dropping elsewhere, thus affecting property owners in a country where large parts of the population own their own home. Passed in 2017, the Ejendomsvurderingslov (law on property assessment, 2017) states that automatic real estate valuation assessment will become standard practice. In preparation for the law, this fully automated system was described as “machine assessments” (Motzfeldt & Abkenar, 2019, p. 36-37). The system is set to include “sales prices related to the neighborhood, location and size. Sales price levels are adjusted to take into account the distance to forests and recreation areas, schools, streets, railways”. The system will also take into account whether or not there is the possibility to build on the surrounding terrain and whether or not ground pollution is an issue (Motzfeldt & Abkenar, 2019, p. 37). A total of 19 parameters will be used to automatically calculate property value (Version2 Editorial, 2019). A preparatory committee prepared an analysis to guide the government ahead of the legislation. The committee followed the overall line to move from “subjective to objective” assessments, from human to digital assessments, and from manual to automatic administration, to improve assessments and lower administration costs (Engbergudvalget, 2014, p. 68-69). While it does not explicitly mention it, this model uses a level of machine learning to develop a “statistical predictive model” (Motzfeldt & Abkenar, 2019, p. 37). Furthermore, the overall assumption of the preparatory committee was that machine assessments were more objective than human assessments, where human assessments are considered subjective. As with many other systems, the automated property assessment system has been significantly delayed. Along the way, fears surfaced that it did not comply with Danish administrative law (Mølsted, 2018). It also proved to be more expensive than the estimate in the initial report regarding the cost of a property valuation calculated by a human (Motzfeldt, 2019-2). This project, and other problematic attempts by the Danish tax authorities to incorporate IT projects, have been described as “the ministers’ (…) IT-phantoms” (Version2 Editorial, 2019). The law to assess property values allows a variation of 40% in the value of a given property – 20% either side of the price calculated by the system – “and one does not need to hold a PhD in human behavior to predict that this will lead to protests if or when the system comes into use. Worst case we will see headlines that two newly built and identical houses will be taxed very differently. Could we blame citizens if they ask critical questions why they had to spend billions for a system with such a low level of precision” (Motzfeldt, 2019-2).",National,Denmark,DK,Danish Tax Authority,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Reasoning,Automated reasoning,Planning and Scheduling,,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,,,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Calculation?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,https://automatingsociety.algorithmwatch.org/report2020/denmark/,25/05/2021,
712,AIWT6-712,Checking of data Estonian Unemployment Insurance Fund, https://www.tootukassa.ee/en/data-protection-terms/data-protection-estonian-unemployment-insurance-fund,"Estonia’s Unemployment Insurance Fund (EUIF) increasingly uses different automated solutions in its everyday work. After a citizen registers on the Unemployment Insurance Fund website as unemployed, the data is checked and, if it is correct, the citizen is then registered as unemployed. In the background, the system uses AI to check an applicant’s data in different databases. It then decides which document to send to the applicant.",National,Estonia,EE,Estonia Unemployment Insurance Fund (EUIF),Central-Government,Social protection,Unemployment.,Implemented,2020,,Reasoning,Automated reasoning,Planning and Scheduling,,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,Transparency,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,https://automatingsociety.algorithmwatch.org/report2020/estonia/,25/05/2021,
