PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),Geographical coverage (NUTS 2021),Responsible Organisation,Responsible Organisation category,COFOG Level I,COFOG Level II,Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Technology,Interaction,Improved Public Service,Personalised Services,Public (citizen)-centred services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Date-updated
PSTW-694,Pension infrastructure,https://medium.com/@nathaliedrost/future-of-pensions-9115ebb7926c,"The Pension Infrastructure (PI) is a complete community-based pension administration blockchain back-office. The aim of the project is to realize a more flexible and transparent pension administration system for citizens, while reducing significantly pension management costs. The project was initiated on the notion of the large similarities between blockchain payments and pension administration. In both systems actors have a personal balance and transactions between the balances occur.",National,Netherlands,NL,APG (Algemene Pensioen Groep),Central-Government,Social protection,Old age.,Pilot,2018,,Internal management,Financial management and support ,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://publications.jrc.ec.europa.eu/repository/handle/JRC115053,,,,,,,17/11/2023
PSTW-695,Stadjerspas smart vouchers,https://joinup.ec.europa.eu/sites/default/files/document/2019-04/JRC115049%20blockchain%20for%20digital%20government.pdf,"Stadjerspas is a fully operable service which uses blockchain infrastructure to provide discounted services to low-income citizens of the Municipality of Groningen. Up until 2013 vouchers were completely paper-based. In 2016 the voucher system in Groningen was moved to a blockchain, developed by DutchChain, a technology provider company. The core value-added of the blockchain-based system is the enhanced targeting of public money thanks to programmable money flows. Detailed spending conditions and eligibility criteria are programmed in the smart contract. Possible criteria include: detailed profiles of the beneficiaries and authorized providers, financial thresholds or usage limits. Smart vouchers can be used, for example, in sport clubs, cinemas or for subsidization of solar panels for home owners. From the municipality perspective Stadjerspas ensures that public money reserved for a specified purpose is spent exclusively on that purpose and targeted at a desired group of beneficiaries.",Local,Netherlands,NL,Municipality of Groningen,Local Government,Social protection,Social protection n.e.c.,Implemented,2016,,Internal management,Financial management and support ,No,Yes,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://publications.jrc.ec.europa.eu/repository/handle/JRC115054,,,,,,,17/11/2023
PSTW-696,Blockchain pilot - Open Data notarization & change protocol,https://digitales.wien.gv.at/en/vienna-blockchain/,"In December 2017, the City of Vienna published a unique solution in Europe that secures public administration data with blockchain. Nearly 4,000 open data resources are already being notarized and are publishing clear identifiers on public blockchains. The solution will be extended to all open government data on data.gv.at and will be used throughout Austria. Notarization for data and documents will become a general service ""BLOCKSTEMPEL"" in cooperation with the Austrian Federal Computing Centre.",Local,Austria,AT,City of Vienna,Local Government,General public services,General services.,Implemented,2017,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2G,,,,,,,x,,,X,X,,X,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-697,Blockchain pilot - Digital food voucher,https://www.slideshare.net/DigitalesWien/blockchain-in-digital-vienna-technology-of-an-innovative-administration-85802239,"Employees of the City of Vienna (CoV) receive food tokens in their digital wallets instead of paper food vouche for each working day. These can be redeemed at contract locations that transfer the token to the CoV to receive the value. The idea of the proof of concept is to optimize the whole process.The Proof of Concept will be evaluated. In the following phases of the project the actual implementation and the broad roll-out could take place for about 20,000 City-Vienna employees",Local,Austria,AT,City of Vienna,Local Government,Social protection,Social protection n.e.c.,Pilot,2018,,Internal management,Financial management and support ,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-698,"Austrian Federal Government's Finance Agency, Oesterreichische Kontrollbank",https://www.coindesk.com/markets/2018/09/27/austrian-government-to-notarize-13-billion-bond-auction-using-ethereum/,The Austrian government is planning to use the ethereum blockchain to notarize the auction of a bond worth around $1.3 billion .The Federal Government's Finance Agency (OeBFA) has assigned banking giant Oesterreichische Kontrollbank (OeKB) to carry out the auction on its behalf.,National,Austria,AT,Federal Government's Finance Agency (OeBFA),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2018,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2G,,,,,,,x,X,,X,X,,X,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-699,BeSure - Demonstrability Service,https://medium.com/@cryptovnet/besure-a-realistic-blockchain-case-for-the-belgian-government-c5b8c62dff38,"An analysis and Proof of Concept have been made for implementing a blockchain solution in eBoxes in Belgium, which are used by administrations to exchange documents between end users. Blockchain can generate long-term proofs that a digital document has been sent and that it has been received, without relying on central parties. Strong security & privacy requirements were paramount.",National,Belgium,BE,Smals Research,Central-Government,General public services,General services.,Pilot,2018,,Enforcement,Certification and validation processes,No,No,Blockchain,G2C,x,,,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-700,FlowBikes - Supporting cities and schools to promote sustainable mobility,https://docplayer.nl/132223320-Flowbikes-in-production-today-first-blockchain-use-case.html,"Encouraging schoolchildren who walk or cycle to school by rewarding them with tokens that can be used at local fairs or shops. This collaborative effort involves the local government, the school, and Belfius Bank, with the goal of creating a safer school environment. It also includes guiding children along the safest routes to school.",Local,Belgium,BE,Belfius Bank & Insurance,Local Government,Public order and safety,Public order and safety n.e.c.,Implemented,2018,,Public services and engagement,Payments and international transactions ,No,Yes,Blockchain,G2C,x,,X,X,X,X,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-703,i-Voting,https://e-estonia.com/solutions/e-governance/e-democracy/,"i-Voting is a unique solution that simply and conveniently helps to engage people in the governance process. In 2005, Estonia became the first country in the world to hold nation-wide elections using this method, and in 2007, it made headlines as the first country to use i-Voting in parliamentary elections. Internet voting, or i-Voting, is a system that allows voters to cast their ballots from any internet-connected computer anywhere in the world. Completely unrelated to the electronic voting systems used elsewhere, which involve costly and problematic machinery, the Estonian solution is simple, elegant and secure. During a designated pre-voting period, the voter logs onto the system using an ID-card or Mobile-ID, and casts a ballot. The voter'ss identity is removed from the ballot before it reaches the National Electoral Commission for counting, thereby ensuring anonymity.",National,Estonia,EE,E-Estonia,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2007,,Public services and engagement,Governance and voting ,No,No,Blockchain,G2C,x,,X,X,X,X,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-704,e-Health Records in Estonia,https://e-estonia.com/solutions/healthcare/,"The Electronic Health Record (e-Health Record) is a nationwide system integrating data from Estonia’s different healthcare providers to create a common record every patient can access online. Functioning very much like a centralized, national database, the e-Health Record actually retrieves data as necessary from various providers, who may be using different systems, and presents it in a standard format via the e-Patient portal. A powerful tool for doctors that allows them to access a patient’s records easily from a single electronic file, doctors can read test results as they are entered, including image files such as X-rays even from remote hospitals. For assuring the integrity of retrieved electronic medical records as well as system access logs, the KSI blockchain technology is being used.",National,Estonia,EE,E-Estonia,Central-Government,Health,Public health services.,Implemented,2020,,Public services and engagement,Data Sharing Management,No,No,Blockchain,G2C,x,,X,X,X,X,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-705,Blockchain-based Keyless Signature Infrastructure (KSI),https://e-estonia.com/solutions/cyber-security/ksi-blockchain/,"KSI is a blockchain technology designed in Estonia and used globally to make sure networks, systems and data are free of compromise, all while retaining 100% data privacy. A blockchain is a distributed public ledger a database with a set of pre-defined rules for how the ledger is appended by the distributed consensus of the participants in the system. Due to its widely witnessed property, blockchain technology makes it also impossible to change the data already on the blockchain. With KSI Blockchain deployed in Estonian government networks, history cannot be rewritten by anybody and the authenticity of the electronic data can be mathematically proven. It means that nobody – neither hackers, nor system administrators, nor even the government itself – can manipulate the data and get away with it.",National,Estonia,EE,E-Estonia,Central-Government,General public services,General public services n.e.c.,Implemented,2012,,Enforcement,Certification and validation processes,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-706,Blockchain as Digital Enabler for the European Federalism in the Asylum Context,http://www.bamf.de/DE/DasBAMF/BAMFdigital/Blockchain/blockchain-node.html,"Together with the German Federal office for Migration and Refugees, the Fraunhofer FIT and technology partners aim to migrate the current German asylum process on a blockchain-based system. This would help the participating nations to reduce the duration and error-rate of the European asylum process. Blockchain allows for cross-organizational refugee management. We deploy the process logic of participating organizations on the blockchain to fasten up and raise the integrity of each asylum process in Europe. BLC thus affords the establishment of a federal, national-agnostic ecosystem for the EU.",National,Germany,DE,Federal office for Migration and Refugees,Central-Government,Social protection,Social protection n.e.c.,In development,2020,,Internal management,Internal management processes,Yes,No,Blockchain,G2G,,,,,,,x,,X,X,X,X,X,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-707,Securing the Internet of Things,https://www.fnlondon.com/articles/isle-of-man-government-on-blockchain-iot-quest-20160808,"The Isle of Man partnered with the startup Credits, a blockchain infrastructure provider, to secure IoT technology. The collaborative effort plans on using a distributed ledger to enhance new IoT applications and devices. Credits claims its services enable a broad range of scalable and interoperable applications. The idea behind [the experiment] is that internet of things has a promise of assigning a unique, non-forgeable identity to physical items and what the blockchain provides is the way of managing and maintaining an identity.",Regional,United Kingdom,UK,Isle of Man,Regional Government,General public services,General services.,In development,2016,,Enforcement,Certification and validation processes,No,No,Blockchain,G2G,,,,,,,x,,,X,X,,X,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-708,Digital Currency Business Register,https://www.ccn.com/isle-man-create-cryptocurrency-businesses-register/,The Isle of Man Government's Department of Economic Development will create a stand-alone register of Island-based digital currency businesses using the protocol of this local Blockchain service.,Regional,United Kingdom,UK,Isle of Man,Regional Government,General public services,General services.,In development,2015,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2B,x,,,X,,X,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-709,Traceability of Italian food products,https://vigneviniequalita.edagricole.it/mercato/accordo-csqa-poligrafico-nuove-soluzioni-per-la-tracciabilita-dei-prodotti-agroalimentari-italiani/,"A collaboration agreement has been signed between Poligrafico and Zecca of the Italian State and CSQA Certificazioni to carry out a project that strengthens the traceability of Italian PDO (protected denomination of origin) and PGI (Protected Geographical Indication) products and offers effective communication to consumers. The agreement is part of the framework of activities for the enhancement of quality supply chains, in order to make the professional skills and technological solutions necessary for the protection and promotion of the specialties of our country available to sector operators and citizens.",National,Italy,IT,Italian Istituto Poligrafico e Zecca dello Stato,Central-Government,Economic affairs,"General economic, commercial and labour affair",In development,2018,,Public services and engagement,Tracking of goods and assets along the supply chain ,No,No,Blockchain,G2C,x,,X,X,,X,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-710,DOGANA 4.0: innovation in the Customs Management,https://www.logisticamanagement.it/it/articles/20180628/blockchain_alcuni_casi_duso_presentati_a_milano,"The Customs Agency is extensively investigating blockchain technology, as part of a process of improvement and continuous innovation that has seen the Customs switch to an "" eCustoms "" model (from paper to digital) and from this to an idea of Customs 4.0, powered by the most innovative technologies quai IoT, AI and blockchain. The concrete project presented concerns a drink of ancient tradition, the Genepì, a herbal liqueur typical of Piedmont: everything from its production to bottling is now replicated on blockchain (with a QR code as a vehicle for communication to the consumer ) while for the future the information chain is expected to be extended to the transport phase. The project was conducted in collaboration with the technological partner Sogei, with open source products and on Ethereum protocol.",National,Italy,IT,Agenzia delle dogane e dei Monopoli,Central-Government,Public order and safety,Police Services,In development,2018,,Public services and engagement,Tracking of goods and assets along the supply chain ,No,No,Blockchain,G2B,x,,X,X,X,,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-711,Food fraud and falsification of Made in Italy,https://www.corrierecomunicazioni.it/digital-economy/blockchain-contro-le-frodi-alimentari-best-case-enology-in-un-tag-nfc-tutta-la-storia-di-una-bottiglia/,"A widespread system to which technology can put a valid barrier against food counterfeiting, which puts consumers at risk and makes producers lose millions of euros, is Blockchain. And it is from the wine sector that the Almaviva traceability platform against counterfeiting started for the Mipaaf, in collaboration with Agea and the national information system for the development of agriculture (Sin). The platform is the first worldwide example in use of public Blockchain , applied to the wine sector on ministerial data. The solution, in fact, unlike other products placed on the market, makes available information relating to Italian wines already present in the Public Administration servers, that is the data of the Sian, National Agricultural Information System, supplied by all the players in the supply chain.",National,Italy,IT,"Ministry of Agricultural, Food and Forestry Policies",Central-Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2018,,Public services and engagement,Tracking of goods and assets along the supply chain ,No,No,Blockchain,G2B,x,,X,X,,X,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-712,Decentralised Digital Identity Proof of Concept,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"The project team conducted research into the potential powerful combination of digital identity and Blockchain. Since (digital) identity is a broader and complex topic, the scope of the project was brought back to 4 user stories, one of them being age control while purchasing specific goods, such as cigarettes or alcohol. A particular advantage of Blockchain in relation to digital identity could be that it becomes easier to share specific information only in a specific context. Furthermore, each citizen would have control over which data he would share with whom (for obvious reasons, the exceptions can be made for governmental organisations). Going back to the age control, the owner of a shop only needs to know that the person in front of him is older than 18 years old, but currently (has to) ask for a document containing more data.",National,Netherlands,NL,Ministry of Interior Affairs,Central-Government,General public services,General services.,Pilot,2016,,Public services and engagement,Authentication of self-sovereign Digital ID services,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-713,Execution of a judicial decision of juvenile court,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"In The Netherlands, minors can get a so-called HALT sentence for committing (minor) crimes. This sentence means that the minor has to do labour. When the work gets completed, the minor no longer has criminal record. The project team looked into the possibilities to use Blockchain for the registration of labour that has been completed. Blockchain would be an interesting technology for such a log, but important legal questions need to be resolved. For example, would it be legally allowed to store information on a Blockchain permanently if the point of getting a HALT sentence is that the minor can continue his life without a criminal record?",National,Netherlands,NL,Ministry of Justice,Central-Government,General public services,General services.,Pilot,2016,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2C,x,,X,X,,X,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-714,Toxic Waste Transport,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"Transporting toxic waste from the Netherlands to another EU State in order for it to get disposed is a complex process that involves multiple stakeholders: the Human Environment and Transport Inspectorate (HETI), its foreign counterpart, the company that wants to dispose waste, a transport company and the company that will take care of the disposal. Currently, this is a paper-intensive process that requires all parties to have their own administration. During their Proof of Concept project, the HETI rethought the entire process. All notifications during this logistical process would go through different applications; approval for a transport could be automated based on a smart contract on the Blockchain.",National,Netherlands,NL,Human Environment and Transport Inspectorate,Central-Government,Environmental protection,Waste management.,Pilot,2016,,Internal management,Internal management processes,No,No,Blockchain,G2G,,,,,,,x,X,,X,X,X,,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-715,Public Healthcare Benefits Subsidy,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Created a blockchain process to make the financial and administrative process for subsidized public healthcare services more efficient.,National,Netherlands,NL,CAK,Central-Government,Health,Public health services.,Pilot,2016,,Public services and engagement,Payments and international transactions ,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-716,Healthcare Process Authorization,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"The Healthcare Institute focused on authorisations in the healthcare process. The pilot project evolved around a fictional elderly person, who required care from diferent healthcare providers. Who can make arrangements when this person ends up in a (temporary) emergency situation currently is arranged in an informal way or at best registered in a notebook. Healthcare providers don’t always know each other or aren’t aware of specific arrangements. The Healthcare Institute sees Blockchain as a technology that can create a clear overview of authorisations in the healthcare process. It has developed a prototype on Ethereum, which allows involved healthcare providers to get real time information on a need to know basis about their client/patient. The client/patient has more control over his data and can determine - via an application - which professional can get access to additional information.",National,Netherlands,NL,Healthcare Institute,Central-Government,Health,Public health services.,Pilot,2016,,Public services and engagement,Data Sharing Management,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-717,FlashCompany (Chamber of Commerce),https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"Establishing a temporary foundation in order to collect money for a good cause is a time consuming administrative process. The Chamber looked into the possible benefits of establishing a temporary organisation (FlashCompany) on the Blockchain.
It found out that for the registration process (online), opening a bank account (can be linked automatically) and selecting conditions for establishing and ending the temporary organisation, Blockchain would be a viable solution. In addition, using smart contracts for donations (“If this video has 1000 views, I will donate 100 Euro”) could be interesting. ",National,Netherlands,NL,Chamber of Commerce,Central-Government,General public services,General services.,Pilot,2016,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2C,x,,,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-718,Blockchain-based Land Registry,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"The Department of the municipality of Eindhoven does not only register ownership of real estate, but also registers and provides geo-information data. Sometimes the data is used in the wrong context, or an outdated set is accidentally used. By applying the blockchain, the Kadaster can immediately specify the most up-to-date dataset by means of a timestamp. It can then be used when filling in a form for environmental law requirements as well as other use cases. All participants can then establish that the data is up-to-date and correct. Providing these open data sets within the blockchain is not a very complicated process, but is therefore suitable to use to build a first blockchain prototype. The Kadaster is also researching work from other countries that are already experimenting with the blockchain and is looking to apply certain elements in the Netherlands.",National,Netherlands,NL,Kadaster Gemeente Eindhoven,Central-Government,General public services,General services.,Pilot,2016,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-719,Truck Driver Tracking,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Developed a blockchain-based system for the tracking of working and resting hours of truck drivers.,National,Netherlands,NL,Human Environment and Transport Inspectorate,Central-Government,Public order and safety,Public order and safety n.e.c.,Pilot,2016,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Blockchain,G2G,,,,,,,x,,X,X,X,,X,X,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-720,Financing New School Buildings,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Built a prototype on Ethereum in collaboration with a dutch national bank (ING) to improve the process of financing the development of new school buildings. This administrative and financial process involves multiple governmental organisations.,National,Netherlands,NL,Ministry of Finance,Central-Government,Economic affairs,Economic affairs n.e.c,Pilot,2016,,Public services and engagement,Payments and international transactions ,No,Yes,Blockchain,G2G,,,,,,,x,X,X,X,X,X,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-721,Electric Vehicle Subsidy Registry,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Develop a significantly improved (and highly automated) regulation for subsidies on electric vehicles.,Local,Netherlands,NL,City of the Hague,Local Government,General public services,General services.,Pilot,2016,,Public services and engagement,Payments and international transactions ,No,No,Blockchain,G2C,x,,X,X,X,X,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-722,Medical Instrument Registration,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"The Ministry of Health, Welfare and Sport (CIBG) manages, records and provides information for the government. Especially in the field of health care. One of the most well-known registers of the CIBG is probably the BIG registry where medical professionals are registered. But there are still more data that fall under the management of the CIBG. This registration has been largely digitized and the CIBG could therefore call you an ICT-driven organization. Does the blockchain still have added value?",National,Netherlands,NL,"Ministry of Health, Welfare and Sport (CIBG)",Central-Government,Health,Public health services.,Pilot,2016,,Enforcement,Registration and data notarisation processes,No,No,Blockchain,G2G,,,,,,,x,,,X,X,,X,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-723,Employment and Identity Fraud,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"Created a use case for the improvement of data sharing with several other governmental organizations in order to improve detection of fraud, exploitation and organized crime within the chain of work and income.",National,Netherlands,NL,The Inspectorate of the Ministry of Employment,Central-Government,General public services,General services.,Pilot,2016,,Public services and engagement,Data Sharing Management,No,No,Blockchain,G2G,,,,,,,x,,X,X,X,X,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-724,Multi-stakeholder Financial Arrangements,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Developed a use case for the improvement of financial arrangements that involved multiple stakeholders.,National,Netherlands,NL,Ministry of Foreign Affairs,Central-Government,General public services,General services.,Pilot,2016,,Public services and engagement,Payments and international transactions ,No,No,Blockchain,G2B,x,,,,,x,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-725,Large Event Permitting,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"The Municipalities of Barendrecht, Albrandswaard and Ridderkerk's BAR Organization looked into ways in which they could apply blockchain to various permitting processes such as street parties. The BAR organization looked at small-scale events where someone applies for a license for a street party. Currently, the permit application is submitted to the municipality, but must be checked by several authorities, such as the fire department or police to approve or deny the permit based on feasibility. All these control moments and advice are again collected by the municipality and then it is checked whether the event permit can be issued. With the Proof of Concept team and experts, the BAR organization tried to model this process on the blockchain automating standard procedures with smart contracts. An additional advantage is that all involved agencies are now also immediately aware of each other's advice and any objections, without intervention of the municipality. Both matters mean a huge reduction in the burden on the work within the municipality. Everything can be done faster and the procedure becomes less vulnerable because a large part of the communication is no longer necessary.",Local,Netherlands,NL,"Municipalities of Barendrecht, Albrandswaard and Ridderkerk",Local Government,General public services,General services.,Pilot,2016,,Enforcement,Certification and validation processes,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-726,Waste Sector Data Sharing,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"The City of Utrecht is Proof of Concepting blockchain for 'waste processing'. The city believes apparent that organisation of the waste processing in the blockchain could bring many benefits. Specifically, the way in which waste weight per empty container is registered. In the Proof of Concept, the waste weight data is linked to that of the transporters, intermediaries and final processors, and organized via the blockchain. All these parties keep their own administration. Blockchain can contribute to a joint administration that provides absolute certainty about the integrity of the data. Another big advantage is that a number of control moments are automatically controlled via smart contracts. At the same time, we have insight into the entire process from waste container to final processor.",Local,Netherlands,NL,City of Utrecht,Local Government,Environmental protection,Waste management.,Pilot,2016,,Internal management,Internal management processes,No,No,Blockchain,G2G,,,,,,,x,X,,X,X,X,X,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-727,Blockchain-based Digital Identity: Do-it-Yourself Marriage,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,"National Office for Identity Data (RvIG) is investigating how digital identity can be implemented on blockchains for Dutch citizens. According to RvIG, a reliable, easy-to-use digital identity is a prerequisite for being able to participate in the blockchain. There are still many questions open about the concept of digital identity. RvIG recently organized an internal blockchain workshop. One of the most appealing examples of 'identity in the blockchain' that came up was the do-it-yourself marriage. For the conclusion of a marriage, three parties are now needed: the two partners who decide to marry and the registrar of the civil registry who closes the marriage. The civil registrar's role is that of the 'third party that creates trust and can conclude the agreement after checking.' The nature of the blockchain means that this 'third party' is in some cases superfluous. In theory, this could also apply to a marriage: via the blockchain, the identity and intention of the two partners can be checked and verified via smart contracts and the decentralized databases. The marriage could thus be completed via the blockchain.",National,Netherlands,NL,National Office for Identity Data (RvIG),Central-Government,General public services,General services.,Pilot,2016,,Public services and engagement,Authentication of self-sovereign Digital ID services,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-728,Aid Subsidy Collection,https://www.welkominzuidhorn.nl/actueel/actueel-zuidhorn/zuidhorn-voert-kindpakket-uit-met-blockchain-technologie,"The Municipality of Zuidhorn has found a unique and innovative way to implement the Kindpakket subsidies via blockchain technology. The Child Package is a budget for children of parents with a minimum income. In the Municipality of Zuidhorn about 150 children are eligible for the program. This money is used by the municipality for disadvantaged children, giving them the opportunity to participate in social activities, in sports and cultural activities at school. The Municipality carries out this national assignment with local entrepreneurs and associations. Within the city, two students have been engaged in research into the possible applications of blockchain in municipal services. They have designed the implementation of the Kindpakket in a new and very user-friendly way with blockchain. The recipient of the Kindpakket can take out the purchase in a simple administrative and financial manner. The 'customer' pays, for example buying a bicycle, with a specific code and the entrepreneur gets the money directly into his account with no intervention from the municipality.",Local,Netherlands,NL,Municipality of Zuidhorn ,Local Government,Social protection,Family and children.,Pilot,2017,,Internal management,Financial management and support ,No,No,Blockchain,G2C,x,,X,X,X,X,,,,,,,,,,,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-729,TrustForWills,https://www.esmartcity.es/2018/05/03/proyecto-trustforwills-aplica-tecnologia-blockchain-gestion-testamento-digital-personas,"In the context of digital legacy, TrustForWills ensures the automated compliance of users' wills in case of temporary disability or death. This is a government supported initiative aimed at promoting the adoption of blockchain technology. To stimulate the generation of new business models within the legal sector by covering the management of currently unsupported patrimonies such as those pertaining to digital assets ecosystem.",National,Spain,ES,Ministry of Economy Tourism and Digital Agenda (MINETAD),Central-Government,General public services,General services.,In development,2018,,Internal management,Internal management processes,No,No,Blockchain,G2C,x,,X,X,X,,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
PSTW-730,Distributed Open Data Portal,https://dadesobertes.valls.cat/,"Open data portal in which the different data sets and resources are published both in the web portal and in a distributed network based on IPFS (data persistence). At the same time data is accountable by logging all changes on a distributed, immutable database (Ethereum) improve citizen participation.",Local,Spain,ES,Valls City Council,Local Government,General public services,General services.,Implemented,2019,,Public services and engagement,Data Sharing Management,No,Yes,Blockchain,G2C,x,,X,X,X,X,,,,,,,,,x,X,,,https://www.eublockchainforum.eu/initiative-map,,,,,,,17/11/2023
